SessionStart,CustomerID,FullName,Gender,Age,CreditScore,MonthlyIncome,Country,State,City,Category,Product,Cost,Price,Quantity,CampaignSchema ,CartAdditionTime,OrderConfirmation,OrderConfirmationTime,PaymentMethod,SessionEnd,OrderReturn,ReturnReason
2019-03-21 12:32:00,1077,Kelly Clark,Male,51,624,3630,India,Uttar Pradesh,Kanpur,books,magazine,5,8,1,Facebook-ads,2019-03-21 12:44:00,True,2019-03-21 12:56:00,Credit Card,2019-03-21 12:49:00,True,Arrived Late
2019-03-21 13:27:00,1078,Tanya Barnes,Female,55,688,6813,Australia,New South Wales,Wollongong,books,novel,10,18,1,E-mails,2019-03-21 13:38:00,True,2019-03-21 13:46:00,Debit Card,2019-03-21 13:43:00,True,Arrived Damaged
2019-03-22 02:05:00,1079,Michael Graham,Female,69,719,5643,Spain,Catalonia,Tarragona,electronics,television,1000,1500,6,Instagram-ads,2019-03-22 02:16:00,True,2019-03-22 02:24:00,Credit Card,2019-03-22 02:19:00,False,
2019-03-22 05:26:00,1080,Julia Hunter,Female,42,672,7359,Canada,Ontario,Mississauga,toys,puzzle,15,25,1,Instagram-ads,2019-03-22 05:46:00,True,2019-03-22 05:59:00,Debit Card,2019-03-22 05:48:00,False,
2019-03-23 00:37:00,1081,Antonio Lopez,Female,44,639,6112,USA,California,Los Angeles,fashion,t-shirt,15,25,4,Google-ads,2019-03-23 00:45:00,True,2019-03-23 00:59:00,Credit Card,2019-03-23 00:50:00,True,Wrong Item
2019-03-24 06:00:00,1082,Jeanette Douglas,Male,30,670,7297,UK,Scotland,Glasgow,electronics,laptop,800,1200,6,E-mails,2019-03-24 06:20:00,True,2019-03-24 06:27:00,Credit Card,2019-03-24 06:23:00,False,
2019-03-25 13:18:00,1083,Kelly Lopez,Female,58,656,4441,India,Maharashtra,Nagpur,fashion,shoes,60,100,4,Facebook-ads,2019-03-25 13:37:00,True,2019-03-25 13:45:00,Debit Card,2019-03-25 13:40:00,False,
2019-03-25 14:11:00,1084,Jennifer Conway,Female,47,625,6592,Spain,Catalonia,Tarragona,books,novel,10,18,4,Facebook-ads,2019-03-25 14:19:00,True,2019-03-25 14:30:00,Cash On Delivery,2019-03-25 14:21:00,False,
2019-03-27 08:07:00,1085,Leon Cline,Female,72,681,4233,USA,California,San Diego,electronics,table fan,30,50,1,Twitter-ads,2019-03-27 08:27:00,True,2019-03-27 08:33:00,Credit Card,2019-03-27 08:32:00,False,
2019-03-28 03:54:00,1086,Nicholas Johnston,Female,19,753,4691,India,Uttar Pradesh,Kanpur,electronics,television,1000,1500,6,E-mails,2019-03-28 04:01:00,False,,,2019-03-28 03:59:00,,
2019-03-28 18:28:00,1087,Michael Ibarra,Female,70,744,6770,Italy,Lombardy,Brescia,toys,puzzle,15,25,6,Instagram-ads,2019-03-28 18:40:00,True,2019-03-28 18:45:00,Debit Card,2019-03-28 18:45:00,False,
2019-03-29 15:51:00,1088,Jose Smith,Male,66,698,5234,Australia,New South Wales,Newcastle,fashion,t-shirt,15,25,4,Instagram-ads,2019-03-29 16:09:00,True,2019-03-29 16:18:00,Credit Card,2019-03-29 16:13:00,False,
2019-03-30 00:01:00,1089,Anthony Orr,Female,48,634,6496,China,Guangdong,Guangzhou,home appliances,mixer grinder,60,90,3,Google-ads,2019-03-30 00:16:00,True,2019-03-30 00:24:00,Credit Card,2019-03-30 00:19:00,True,Arrived Late
2019-03-30 19:38:00,1090,Melissa Wilson,Male,37,677,6276,USA,Texas,Dallas,toys,action figure,8,15,6,Twitter-ads,2019-03-30 20:01:00,True,2019-03-30 20:12:00,Credit Card,2019-03-30 20:05:00,False,
2019-03-31 12:52:00,1091,Luis Macias,Male,52,723,7947,India,Uttar Pradesh,Lucknow,fashion,jeans,40,70,6,Instagram-ads,2019-03-31 13:02:00,False,,,2019-03-31 13:10:00,,
2019-04-01 00:44:00,1092,Hannah Flynn,Female,51,610,7073,India,Maharashtra,Pune,books,textbook,30,50,3,Instagram-ads,2019-04-01 00:49:00,True,2019-04-01 00:57:00,Paypal,2019-04-01 00:51:00,True,Arrived Damaged
2019-04-01 21:12:00,1093,Lori Miller,Female,66,780,4310,India,Uttar Pradesh,Kanpur,toys,board game,20,35,6,Facebook-ads,2019-04-01 21:21:00,True,2019-04-01 21:35:00,Debit Card,2019-04-01 21:24:00,False,
2019-04-01 22:57:00,1094,Seth Edwards,Female,19,768,5673,Italy,Lombardy,Brescia,books,magazine,5,8,5,Instagram-ads,2019-04-01 23:06:00,True,2019-04-01 23:13:00,Paypal,2019-04-01 23:11:00,False,
2019-04-02 01:22:00,1095,Christopher Johnson,Male,30,646,5498,China,Shandong,Yantai,fashion,dress,50,80,6,Twitter-ads,2019-04-02 01:34:00,True,2019-04-02 01:47:00,Cash On Delivery,2019-04-02 01:37:00,False,
2019-04-03 06:21:00,1096,Tyrone Combs,Female,26,761,5394,USA,California,Los Angeles,home appliances,electric stove,250,400,2,Twitter-ads,2019-04-03 06:48:00,True,2019-04-03 06:53:00,Debit Card,2019-04-03 06:53:00,False,
2019-04-03 17:53:00,1097,Eric Cruz,Female,22,742,3876,India,Uttar Pradesh,Ghaziabad,toys,action figure,8,15,2,Google-ads,2019-04-03 18:17:00,False,,,2019-04-03 18:31:00,,
2019-04-04 23:52:00,1098,Kristen Cruz,Female,28,663,7060,India,Maharashtra,Nagpur,electronics,hair dryer,25,40,4,Facebook-ads,2019-04-05 00:05:00,False,,,2019-04-05 00:03:00,,
2019-04-05 11:51:00,1099,David Petty,Female,35,704,4519,Italy,Lazio,Latina,home appliances,mixer grinder,60,90,4,E-mails,2019-04-05 11:58:00,True,2019-04-05 12:03:00,Paypal,2019-04-05 12:02:00,True,Poor Quality
2019-04-06 03:44:00,1100,Brett Lopez,Male,27,655,5157,USA,Texas,Dallas,fashion,jeans,40,70,3,Instagram-ads,2019-04-06 04:08:00,False,,,2019-04-06 04:02:00,,
2019-04-06 21:43:00,1101,Karen Stone,Female,25,707,5949,UK,Scotland,Aberdeen,books,magazine,5,8,4,Twitter-ads,2019-04-06 22:08:00,True,2019-04-06 22:18:00,Debit Card,2019-04-06 22:12:00,False,
2019-04-09 07:03:00,1102,Daniel Johnson,Male,33,677,5535,India,Uttar Pradesh,Kanpur,toys,action figure,8,15,3,Twitter-ads,2019-04-09 07:22:00,True,2019-04-09 07:37:00,Credit Card,2019-04-09 07:24:00,True,Arrived Late
2019-04-09 23:35:00,1103,Jeremy Buchanan,Male,59,625,3683,China,Shandong,Yantai,fashion,t-shirt,15,25,3,Instagram-ads,2019-04-09 23:43:00,True,2019-04-09 23:53:00,Debit Card,2019-04-09 23:46:00,False,
2019-04-11 02:34:00,1104,Kathryn Moss,Male,35,708,6598,Australia,Victoria,Geelong,fashion,shoes,60,100,5,Facebook-ads,2019-04-11 03:02:00,True,2019-04-11 03:07:00,Credit Card,2019-04-11 03:04:00,False,
2019-04-13 11:10:00,1105,Ashley Bradley,Male,45,675,3154,India,Maharashtra,Pune,books,magazine,5,8,6,Billboard-QR code,2019-04-13 11:19:00,True,2019-04-13 11:27:00,Credit Card,2019-04-13 11:22:00,False,
2019-04-13 14:56:00,1106,Heather Willis,Male,48,739,6226,Canada,Ontario,Mississauga,toys,action figure,8,15,4,Facebook-ads,2019-04-13 15:10:00,True,2019-04-13 15:19:00,Paypal,2019-04-13 15:13:00,True,Poor Quality
2019-04-14 06:07:00,1107,Danielle Randall,Female,66,665,7422,China,Shandong,Qingdao,electronics,television,1000,1500,3,Billboard-QR code,2019-04-14 06:23:00,True,2019-04-14 06:35:00,Cash On Delivery,2019-04-14 06:25:00,False,
2019-04-15 14:25:00,1108,Yesenia Taylor,Male,68,667,7542,Australia,New South Wales,Wollongong,books,magazine,5,8,6,Google-ads,2019-04-15 14:42:00,True,2019-04-15 14:48:00,Credit Card,2019-04-15 14:47:00,False,
2019-04-15 18:08:00,1109,Megan Wilson,Male,30,619,3756,Canada,Ontario,Toronto,toys,action figure,8,15,1,Billboard-QR code,2019-04-15 18:32:00,True,2019-04-15 18:38:00,Debit Card,2019-04-15 18:34:00,False,
2019-04-15 22:36:00,1110,Mason Moreno,Female,62,642,4230,Australia,New South Wales,Wollongong,home appliances,mixer grinder,60,90,5,Facebook-ads,2019-04-15 22:49:00,False,,,2019-04-15 23:02:00,,
2019-04-16 08:47:00,1111,Pamela Johnson,Male,44,763,3099,Spain,Catalonia,Tarragona,fashion,shoes,60,100,6,Instagram-ads,2019-04-16 09:06:00,True,2019-04-16 09:16:00,Credit Card,2019-04-16 09:09:00,False,
2019-04-16 14:37:00,1112,Kathleen Harvey,Female,50,778,7302,Australia,New South Wales,Sydney,fashion,shoes,60,100,4,Instagram-ads,2019-04-16 14:54:00,True,2019-04-16 14:59:00,Debit Card,2019-04-16 14:58:00,False,
2019-04-17 06:01:00,1113,Brianna Meyers,Male,37,760,4529,Japan,Kanagawa,Sagamihara,home appliances,toaster,40,60,4,E-mails,2019-04-17 06:15:00,True,2019-04-17 06:30:00,Credit Card,2019-04-17 06:20:00,False,
2019-04-17 11:23:00,1114,Nicolas Evans,Male,49,747,6854,Canada,Quebec,Montreal,books,textbook,30,50,5,Google-ads,2019-04-17 11:32:00,True,2019-04-17 11:40:00,Cash On Delivery,2019-04-17 11:35:00,False,
2019-04-17 17:40:00,1115,Stuart Hester,Male,48,655,3151,UK,Scotland,Glasgow,books,textbook,30,50,1,Google-ads,2019-04-17 17:54:00,True,2019-04-17 18:00:00,Cash On Delivery,2019-04-17 17:58:00,True,Arrived Late
